Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,28.799999,28.799999,25.100000,25.299999,25.299999,8122
2020-02-13,24.250000,27.799999,24.250000,25.500000,25.500000,1848
2020-02-14,24.100000,27.900000,24.100000,25.600000,25.600000,412
2020-02-17,25.200001,27.100000,25.200001,25.600000,25.600000,531
2020-02-18,25.000000,26.100000,24.950001,25.450001,25.450001,4245
2020-02-19,24.000000,26.700001,24.000000,26.400000,26.400000,2107
2020-02-20,27.700001,27.700001,25.049999,26.650000,26.650000,2099
2020-02-24,29.000000,29.000000,24.150000,25.400000,25.400000,4660
2020-02-25,24.100000,26.950001,24.100000,24.799999,24.799999,6448
2020-02-26,26.500000,26.500000,24.200001,24.950001,24.950001,4533
2020-02-27,24.150000,26.000000,24.000000,25.000000,25.000000,8578
2020-02-28,24.049999,25.950001,24.000000,24.750000,24.750000,3909
2020-03-02,22.600000,26.000000,22.600000,24.150000,24.150000,1319
2020-03-03,22.000000,26.000000,22.000000,22.450001,22.450001,2148
2020-03-04,22.350000,24.500000,22.350000,23.299999,23.299999,1336
2020-03-05,22.000000,25.000000,21.000000,21.900000,21.900000,13043
2020-03-06,23.950001,24.000000,21.200001,21.500000,21.500000,4307
2020-03-09,21.500000,21.500000,21.500000,21.500000,21.500000,0
2020-03-11,17.850000,21.000000,17.850000,19.900000,19.900000,2804
2020-03-12,18.000000,21.000000,17.950001,17.950001,17.950001,8677
2020-03-13,19.000000,19.000000,16.200001,17.549999,17.549999,9734
2020-03-16,15.800000,19.000000,15.800000,15.800000,15.800000,20599
2020-03-17,16.500000,16.549999,15.050000,15.800000,15.800000,14002
2020-03-18,15.050000,15.800000,15.050000,15.050000,15.050000,5998
2020-03-19,15.500000,15.500000,14.300000,14.300000,14.300000,4322
2020-03-20,15.000000,15.000000,13.600000,13.850000,13.850000,24867
2020-03-23,14.500000,14.500000,13.200000,13.200000,13.200000,9888
2020-03-24,13.850000,13.850000,12.550000,12.550000,12.550000,3687
2020-03-25,12.050000,13.150000,12.000000,13.150000,13.150000,4700
2020-03-26,13.700000,13.800000,13.600000,13.800000,13.800000,7527
2020-03-27,14.450000,14.450000,14.450000,14.450000,14.450000,2315
